neighborhoods,year,count
Lincoln Park,2013 ,1
Hayes Valley,2008 ,75
Glen Park,2012 ,4
Russian Hill,1999 ,76
OceanviewMercedIngleside,2014 ,44
Mission,2016 ,182
McLaren Park,2009 ,2
Nob Hill,2014 ,93
North Beach,2012 ,28
South of Market,2010 ,148
Inner Sunset,2010 ,31
Lone MountainUSF,2010 ,22
West of Twin Peaks,2016 ,32
Chinatown,2015 ,31
South of Market,2003 ,29
Outer Richmond,2013 ,86
Tenderloin,2006 ,123
Potrero Hill,2015 ,36
CastroUpper Market,2013 ,71
Portola,2016 ,26
SunsetParkside,2014 ,127
Glen Park,2015 ,2
South of Market,2011 ,37
Outer Mission,1999 ,38
Twin Peaks,2000 ,32
Visitacion Valley,2008 ,10
Excelsior,2005 ,32
Western Addition,1998 ,26
Western Addition,2002 ,26
North Beach,2015 ,46
Bayview Hunters Point,2002 ,40
Bayview Hunters Point,1998 ,52
Mission Bay,2007 ,2
Chinatown,2012 ,17
Haight Ashbury,2006 ,51
Noe Valley,2002 ,45
Noe Valley,1998 ,132
Pacific Heights,2009 ,30
Presidio,2001 ,3
Inner Richmond,2013 ,48
Twin Peaks,2001 ,10
Excelsior,2004 ,36
Lone MountainUSF,2011 ,18
Inner Sunset,2011 ,30
Potrero Hill,2012 ,25
Visitacion Valley,2010 ,21
SunsetParkside,2007 ,99
Chinatown,2006 ,9
Haight Ashbury,2012 ,49
Outer Mission,2009 ,24
Inner Richmond,2005 ,32
Hayes Valley,2011 ,44
Potrero Hill,2006 ,14
Tenderloin,2015 ,173
Financial DistrictSouth Beach,1998 ,14
Financial DistrictSouth Beach,2002 ,12
Mission Bay,2014 ,1
Inner Richmond,2004 ,37
Japantown,2011 ,4
Excelsior,2013 ,67
Visitacion Valley,2003 ,17
Pacific Heights,1999 ,69
Marina,2002 ,78
Marina,1998 ,114
Seacliff,1999 ,5
Haight Ashbury,2015 ,59
Hayes Valley,2010 ,33
OceanviewMercedIngleside,2007 ,28
South of Market,2008 ,66
Japantown,2003 ,1
Russian Hill,2009 ,19
Outer Richmond,2005 ,80
Lincoln Park,2004 ,1
Visitacion Valley,2011 ,12
Tenderloin,2012 ,64
CastroUpper Market,2005 ,95
Nob Hill,2007 ,70
Glen Park,2006 ,9
Outer Richmond,2004 ,77
Lone MountainUSF,2008 ,27
Inner Sunset,2008 ,48
CastroUpper Market,2004 ,89
Presidio Heights,1998 ,35
Presidio Heights,2002 ,31
Hayes Valley,2003 ,52
North Beach,2006 ,52
Bernal Heights,1998 ,86
Bernal Heights,2002 ,64
Japantown,2010 ,1
Twin Peaks,1997 ,21
Mission,2005 ,216
Lone MountainUSF,2015 ,40
Inner Sunset,2015 ,47
Chinatown,2010 ,22
Financial DistrictSouth Beach,2007 ,6
Bayview Hunters Point,2014 ,53
Russian Hill,2001 ,49
Western Addition,2014 ,50
West of Twin Peaks,2004 ,29
Visitacion Valley,2006 ,9
Lakeshore,2005 ,21
Potrero Hill,2010 ,10
SunsetParkside,2002 ,124
SunsetParkside,1998 ,208
Portola,,2004 ,15
Lakeshore,2004 ,6
Marina,2007 ,49
Haight Ashbury,2008 ,50
North Beach,2011 ,25
Chinatown,2003 ,10
Portola,2005 ,8
Pacific Heights,1997 ,81
Noe Valley,2014 ,52
South of Market,2015 ,47
Mission,,2004 ,220
Potrero Hill,2003 ,24
Glen Park,2011 ,12
Russian Hill,2000 ,80
West of Twin Peaks,2005 ,25
Outer Mission,2001 ,38
Glen Park,2003 ,10
Seacliff,1997 ,3
Nob Hill,2002 ,60
Nob Hill,1998 ,64
Hayes Valley,2006 ,50
Lone MountainUSF,2012 ,54
Inner Sunset,2012 ,34
Potrero Hill,2011 ,23
OceanviewMercedIngleside,1998 ,58
OceanviewMercedIngleside,2002 ,26
North Beach,2003 ,50
Chinatown,2011 ,32
Excelsior,2016 ,77
Bernal Heights,2007 ,20
Glen Park,2010 ,10
Tenderloin,2008 ,103
Japantown,2006 ,3
Presidio Heights,2007 ,15
South of Market,2012 ,268
Outer Mission,2000 ,60
North Beach,2010 ,19
Twin Peaks,1999 ,11
Presidio Heights,2003 ,17
CastroUpper Market,2001 ,116
Hayes Valley,2002 ,49
Hayes Valley,1998 ,177
Seacliff,2016 ,4
Lincoln Park,2000 ,2
Outer Richmond,2001 ,124
Mission,2009 ,118
Financial DistrictSouth Beach,2011 ,6
Nob Hill,2006 ,78
Golden Gate Park,2010 ,1
OceanviewMercedIngleside,2006 ,24
Excelsior,1997 ,55
Bernal Heights,2003 ,50
Lakeshore,2009 ,9
North Beach,2007 ,32
Tenderloin,2014 ,108
Portola,2009 ,27
Marina,2011 ,39
Presidio Heights,2010 ,13
Mission Bay,2015 ,2
Glen Park,2007 ,13
West of Twin Peaks,2009 ,13
Outer Richmond,2000 ,158
Bernal Heights,2010 ,34
CastroUpper Market,2000 ,104
Japantown,2002 ,5
Japantown,1998 ,7
Golden Gate Park,2011 ,2
Potrero Hill,2007 ,11
Visitacion Valley,1998 ,28
Visitacion Valley,2002 ,24
Inner Richmond,2001 ,80
Twin Peaks,2013 ,14
Bayview Hunters Point,2008 ,41
Marina,2003 ,42
SunsetParkside,2006 ,76
Chinatown,2007 ,19
Financial DistrictSouth Beach,2010 ,7
Western Addition,2008 ,24
Bernal Heights,2011 ,43
Mission Bay,2012 ,3
Noe Valley,2008 ,24
Pacific Heights,2016 ,58
Haight Ashbury,2014 ,42
Inner Richmond,2000 ,73
Financial DistrictSouth Beach,2003 ,14
Presidio Heights,2011 ,11
Marina,2010 ,50
Noe Valley,2015 ,41
Nob Hill,2010 ,28
South of Market,2014 ,63
SunsetParkside,2011 ,59
OceanviewMercedIngleside,2010 ,29
Excelsior,1999 ,70
Hayes Valley,2007 ,74
Pacific Heights,2013 ,41
Outer Mission,2005 ,22
Inner Richmond,2009 ,20
Japantown,2007 ,4
Presidio Heights,2006 ,21
Outer Mission,2004 ,11
Glen Park,2002 ,17
Glen Park,1998 ,41
Nob Hill,2003 ,65
Inner Sunset,2014 ,41
Lone MountainUSF,2014 ,33
Bayview Hunters Point,2015 ,74
Bernal Heights,2006 ,33
Western Addition,2015 ,40
Twin Peaks,2016 ,12
North Beach,1998 ,73
OceanviewMercedIngleside,2003 ,44
North Beach,2002 ,26
OceanviewMercedIngleside,2011 ,21
Chinatown,1998 ,22
Chinatown,2002 ,6
Mission Bay,2008 ,1
Lakeshore,2001 ,2
Noe Valley,2012 ,31
Portola,2000 ,30
CastroUpper Market,2009 ,45
Financial DistrictSouth Beach,2006 ,10
Nob Hill,2011 ,31
Russian Hill,2005 ,27
West of Twin Peaks,2000 ,38
Outer Richmond,2009 ,52
SunsetParkside,2010 ,59
Visitacion Valley,2007 ,15
Mission,2001 ,268
Potrero Hill,2002 ,26
Potrero Hill,1998 ,66
West of Twin Peaks,2001 ,46
Mission,2000 ,254
Russian Hill,2004 ,15
Marina,2006 ,27
Western Addition,2012 ,28
SunsetParkside,2003 ,78
Portola,2001 ,33
Bayview Hunters Point,2012 ,48
McLaren Park,2013 ,2
Outer Richmond,1999 ,121
Presidio Heights,2015 ,15
Mission Bay,2010 ,1
Treasure Island,2006 ,7
CastroUpper Market,1999 ,126
Bayview Hunters Point,2006 ,27
SunsetParkside,2008 ,68
Visitacion Valley,2014 ,33
Marina,2012 ,60
Western Addition,2006 ,34
Bernal Heights,2015 ,73
Seacliff,2004 ,1
Noe Valley,2006 ,69
Haight Ashbury,1998 ,103
Haight Ashbury,2002 ,69
Golden Gate Park,2015 ,1
Russian Hill,2013 ,37
Financial DistrictSouth Beach,2012 ,19
Excelsior,2009 ,48
South of Market,2007 ,45
Lakeshore,1997 ,55
Inner Richmond,1999 ,63
Presidio Heights,2012 ,11
Pacific Heights,2004 ,36
Nob Hill,2008 ,46
Marina,2015 ,68
Bernal Heights,2012 ,31
Mission Bay,2011 ,5
Mission,1997 ,279
OceanviewMercedIngleside,2008 ,28
Hayes Valley,2014 ,61
Japantown,2014 ,6
West of Twin Peaks,1997 ,48
Financial DistrictSouth Beach,2015 ,7
Inner Sunset,2007 ,69
Lone MountainUSF,2007 ,24
Outer Mission,2013 ,20
Pacific Heights,2005 ,50
Tenderloin,1998 ,72
